AABCD,SP,TCI,MKL,Eureqa,CP,SE,LN
2.09984003433,1.0,1.44247220275,4.73185471686,3.23708100991,4.79548822207,32.2087660773,4.93929921001
1.26208527832,1.20570017832,1.03058781382,1.0,2.6412529265,1.0334232911,1.60921349617,1.07127047524
1.0,1.32006906835,1.28784862773,1.74049438692,2.54336973707,1.7383557734,1.84775853942,3.18622440303
1.18156123663,2.99847294739,2.99829826327,2.99937969682,1.31080339707,1.0,3.03336513418,1.01962301616
1.00097501494,1.02719794446,1.0,1.34903551868,1.28094004808,1.34889157797,2.71856415952,1.51139054625
1.0,1.66898957665,1.05651917597,2.01739629498,3.0885269411,2.05899869876,2.0402975258,2.43351385869
1.0,11.0351754338,1.79826751662,1.79832535379,493.302505297,3.53884846779,22.6283575532,28.7597165759
1.88425569176,1.0,2.30718955792,3.12894557006,1.40905481034,3.12895648827,8.46436407607,4.31221426616
1.35115425567,1.06365048219,1.0,1.911282538,1.79882086379,2.0742562131,1.88144700334,1.74411410292
1.33206714934,1.31527742207,1.66088833165,1.48658617709,1.82007799954,2.07570444912,1.0,3.24841376878
2.02503702811,3.56883772733,2.23403750443,1.70895540805,2.22946646319,1.65791846852,1.88707707884,1.0
1.0,1.53992142936,1.55648037434,1.84698458779,1.92956204878,1.84293217821,1.65926011574,1.95531584448
3.99651173836,3.63439678009,3.11607632694,3.15985031558,1.0,5.83461594831,5.35044552227,4.24637902736